kodetoko,namatoko
1MD4,ALFAMART ABDULLAH SYAFEI [ABSY]
1V01,A YANI 2 LAMTENG [AY2L]
1V02,YUKUM JAYA 3 [YJA3]
1V11,KOTA GAJAH 4 [KTG4]
1V15,PANGGUNGAN [PNGAN]
1V21,SEPUTIH JAYA [SPJY]
1V23,SEPUTIH RAMAN 2 [SPRM2]
1V27,DONO ARUM [DOAM]
1V35,PUNGGUR [PGGR]
1V53,RAMA INDERA [RAIRA]
1V55,SPBU SEPUTIH BANYAK/F [SPBUSB]
1V58,TEMPURAN [TMPR]
1V59,BEKRI [BKRI]
1V61,DR. SUTOMO 2 METRO [DST2M]
1V85,IMAM BONJOL 2 METRO/F [IB2M]
1V88,SOEKARNO HATTA 3 MTR/F [SH3M]
1V93,JENSUD METRO [JSMT]
1V96,IRING MULYO [IRMO]
1V99,ADIREJO [ADJO]
1VD6,AA MART/F [AMRT]
1VD7,BUDI UTOMO [BDTM]
1VK8,KSB SIDOREJO/F [KSSJ]
1VL1,MATARAM MARGA [MRMG]
1VL8,PURWOSARI/F [PUSR]
1VM8,PURWOASRI METRO [PWAI]
1VM9,SUTAN SYAHRIR METRO [SSYR]
1VN6,SUKADANA 2/F [SUKN]
1VN8,YOS SUDARSO 2 METRO [YSSM]
1VO4,KSB MASJID ISTIQLAL/F [KMJI]
1VR2,KSO FF MART/F [KSFM]
1VR5,RAYA SUKOHARJO/F [RYSU]
1VS1,KSO YOGI MART/F [KSYM]
1VU3,VETERAN METRO/F [VTRO]
1VU4,KSO SPBU TEJOAGUNG/F [KPTJ]
1VU9,RAYA SEKAMPUNG [RSKU]
1VV8,BANJAR REJO/F [BANRE]
1VV9,LINTAS GANJAR AGUNG/F [LAJAR]
1VW4,PURWOSARI LAMTIM [PWLA]
1VX8,REJO BASUKI
1VY3,LINTAS TEMPURAN
1Y01,SARONGSONG I [SRO1]
1Y06,PIERE TENDEAN [PIET]
1Y07,LEMBEAN[LEME]
1Y08,AA MARAMIS [AMIS]
1Y09,MAPANGET RAYA [MPER]
1Y10,JENSUD MANADO [JSMO]
1Y11,MAPANGET TETERUSAN [MATE]
1Y13,GIRIAN BITUNG [GIBI]
1Y14,MALALAYANG [MLYA]
1Y15,PURI KELAPA GADING [PKGA]
1Y17,AIRMADIDI ATAS[AIDI]
1Y1E,POLI. KAIRAGI DUA [POLD]
1Y1F,KAWILEY MINUT [KAWN]
1Y1K,MATUNGKAS RAYA [MATR]
1Y1L,SINDULANG MANADO [SINO]
1Y1M,PAAL EMPAT MANADO [PALE]
1Y1O,PANIKI ATAS MINUT [PAMT]
1Y1R,TUMALUNTUNG MINUT [TUUT]
1Y1X,SINGKIL MANADO [ILDO]
1Y1Y,PARIGI TUJUH ATAS [PTUS]
1Y20,17 AGUSTUS [17AS]
1Y21,HASANUDIN MANADO [HSMO]
1Y22,W MONGINSIDI BITUNG [WMBG]
1Y24,SARUNDAJANG BITUNG [SDBI]
1Y26,WATUTUMOU MINUT [WAMI]
1Y27,KOLONGAN MINUT [KOMI]
1Y28,KOLONGAN RAYA MINUT [KRMT]
1Y29,MATUNGKAS MINUT [MTKM]
1Y2C,PARIGI MANADO [PADO]
1Y2H,RAYA SUKUR [RAYS]
1Y2L,RANOMUUT MANADO [ROMA]
1Y2T,MANEMBO NEMBO RAYA [MARU]
1Y2U,RAYA MATUARI [RAYI]
1Y32,MATUNGKAS 2 [MTU2]
1Y33,VETERAN BITUNG [VEBI]
1Y37,KOLONGAN TETEMPANGAN [KOTE]
1Y38,PINELENG [PLEG]
1Y39,TIKALA ARES MDO[TARS]
1Y3F,TRANS KAUDITAN [TRAK]
1Y3G,KAUDITAN SATU [KNST]
1Y3H,GIRIAN WERU [GIRW]
1Y3L,NEW CITRALAND [NECI]
1Y3T,GIRIAN BAWAH/F [GIBA]
1Y40,PANIKI BAWAH MPGT[PBWM]
1Y41,POGIDON [PGDO]
1Y42,ADIPURA [ADRA]
1Y44,AIRMADIDI MINUT [AIMI]
1Y45,ARNOLD MONONUTU [ARMO]
1Y46,PINGKAN MATINDAS [PIAS]
1Y47,ARNOLD MONOMUTU MINU [ARMI]
1Y48,A. YANI MANADO [AYMA]
1Y4A,MATUARI TENGAH [MAAH]
1Y4E,GIRIAN ATAS [GIAT]
1Y4J,SARAPUNG [SAAP]
1Y4M,KOKA MAPANGET [KOET]
1Y4O,TAMANSARI/F [TANS]
1Y4U,RINGROAD WANEA [RIWA]
1Y4Y,RAYA KAUDITAN SATU [RAUD]
1Y52,BETHESDA MANADO [BSDA]
1Y53,MALALAYANG 1 TIMUR [ML1T]
1Y54,WOLTER MONGINSIDI [WODI]
